"FishID","fish_id","gra_2002","gra_2003","gra_2004","gra_2005","gra_2006","gra_2007","gra_2008","gra_2009","gra_2010","gra_2011","gra_2012","gra_2013","gra_2014","gra_2015","gra_2016","gra_2017","gra_2018","gra_2019","gra_2020","gra_2021"
209166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209167,2,0.0277777777777778,0.0277777777777778,0,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0277777777777778,0.0277777777777778,0,0,0,0,0,0,0,0,0,0
209584,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209586,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209587,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209588,6,0.00819672131147541,0.00819672131147541,0,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541
209589,7,0.00869565217391304,0.0260869565217391,0.0173913043478261,0.0260869565217391,0.0260869565217391,0.0173913043478261,0.0173913043478261,0.0173913043478261,0.0173913043478261,0.0173913043478261,0.0173913043478261,0.0260869565217391,0.0173913043478261,0.0173913043478261,0.0260869565217391,0.0347826086956522,0.0173913043478261,0.0260869565217391,0.0260869565217391,0.0347826086956522
209590,8,0,0,0,0,0,0.0087719298245614,0.0087719298245614,0.0087719298245614,0,0.0087719298245614,0.0087719298245614,0.0087719298245614,0.0087719298245614,0.0087719298245614,0.0087719298245614,0.0087719298245614,0,0.0087719298245614,0,0.0087719298245614
209591,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209592,10,0.0330578512396694,0.0413223140495868,0.0495867768595041,0.0495867768595041,0.0495867768595041,0.0495867768595041,0.0661157024793388,0.0578512396694215,0.0661157024793388,0.0578512396694215,0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0578512396694215,0.0661157024793388,0.0743801652892562,0.0909090909090909,0.0909090909090909,0.0991735537190083,0.0909090909090909
210003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210005,12,0,0,0,0,0,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.00806451612903226,0.0161290322580645
210006,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210007,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210009,16,0.0258620689655172,0.0172413793103448,0.00862068965517241,0,0.00862068965517241,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0.00862068965517241,0,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0258620689655172,0.0431034482758621
210010,17,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826446280991736
210011,18,0.0526315789473684,0.0614035087719298,0.0526315789473684,0.0614035087719298,0.0614035087719298,0.0614035087719298,0.0701754385964912,0.0526315789473684,0.0701754385964912,0.087719298245614,0.087719298245614,0.0701754385964912,0.0701754385964912,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.087719298245614,0.12280701754386,0.105263157894737
210012,19,0.0173913043478261,0.00869565217391304,0,0,0.00869565217391304,0,0,0,0,0,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,0.0173913043478261
210013,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855
210014,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210424,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210428,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210429,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210430,25,0,0,0,0,0,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0.00869565217391304
210431,26,0.0833333333333333,0.0833333333333333,0.0583333333333333,0.0666666666666667,0.0583333333333333,0.0583333333333333,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.05,0.0583333333333333,0.0583333333333333,0.05,0.0416666666666667,0.0333333333333333,0.05,0.05,0.0666666666666667,0.0666666666666667,0.125
210432,27,0.0521739130434783,0.0695652173913043,0.0521739130434783,0.0347826086956522,0.0695652173913043,0.0608695652173913,0.0521739130434783,0.0521739130434783,0.0434782608695652,0.0521739130434783,0.0521739130434783,0.0434782608695652,0.0347826086956522,0.0434782608695652,0.0521739130434783,0.0521739130434783,0.0782608695652174,0.0869565217391304,0.0782608695652174,0.104347826086957
210433,28,0.00869565217391304,0,0,0,0,0,0.00869565217391304,0,0.00869565217391304,0,0,0.00869565217391304,0,0,0,0.00869565217391304,0,0.00869565217391304,0.0173913043478261,0.0521739130434783
210434,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210435,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210436,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210842,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210843,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210846,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210847,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210850,36,0,0,0,0,0,0,0.0175438596491228,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0
210851,37,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0,0.00862068965517241,0.00862068965517241,0.0172413793103448,0.0172413793103448,0.0517241379310345,0.0431034482758621,0.103448275862069
210852,38,0.087719298245614,0.0964912280701754,0.105263157894737,0.0964912280701754,0.114035087719298,0.131578947368421,0.140350877192982,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.12280701754386,0.12280701754386,0.114035087719298,0.105263157894737,0.105263157894737,0.105263157894737,0.0964912280701754,0.114035087719298,0.263157894736842
210853,39,0.0413223140495868,0.0330578512396694,0.0330578512396694,0.0413223140495868,0.0578512396694215,0.0413223140495868,0.0495867768595041,0.0413223140495868,0.0413223140495868,0.0495867768595041,0.0495867768595041,0.0413223140495868,0.0413223140495868,0.0413223140495868,0.0495867768595041,0.0661157024793388,0.0495867768595041,0.0495867768595041,0.0661157024793388,0.107438016528926
210854,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260869565217391,0.0347826086956522
210855,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210856,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211261,43,0.0265486725663717,0,0,0,0,0.0176991150442478,0.0176991150442478,0.0265486725663717,0.0442477876106195,0.0265486725663717,0.0176991150442478,0,0,0,0.00884955752212389,0,0.0176991150442478,0.00884955752212389,0.00884955752212389,0
211263,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211264,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211267,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211268,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211269,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211270,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211271,50,0,0,0,0,0,0,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0
211272,51,0.0521739130434783,0.0782608695652174,0.0956521739130435,0.0956521739130435,0.0869565217391304,0.11304347826087,0.121739130434783,0.104347826086957,0.121739130434783,0.104347826086957,0.0869565217391304,0.0782608695652174,0.0782608695652174,0.0695652173913043,0.0521739130434783,0.0695652173913043,0.0956521739130435,0.0695652173913043,0.0695652173913043,0.28695652173913
211273,52,0.0789473684210526,0.0789473684210526,0.0701754385964912,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0964912280701754,0.0964912280701754,0.0964912280701754,0.087719298245614,0.0789473684210526,0.087719298245614,0.0964912280701754,0.0964912280701754,0.0964912280701754,0.087719298245614,0.0964912280701754,0.0964912280701754,0.0964912280701754,0.166666666666667
211274,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252100840336134
211276,54,0,0,0,0,0,0,0.00869565217391304,0.00869565217391304,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0
211277,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087719298245614,0,0,0,0,0,0
211278,56,0,0,0,0,0,0,0.0413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0
211279,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211636,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211680,59,0,0,0,0,0,0.0173913043478261,0,0.0173913043478261,0.0173913043478261,0.00869565217391304,0.00869565217391304,0,0,0,0,0,0,0,0,0
211684,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
